#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
280,-211.04502273694828,291.1880263819366,0.020780882334166598
281,-197.7908557124849,214.74298034256645,0.020780882334166598
282,-186.88107331920446,139.21511508147768,0.020780882334166598
283,-189.73310423958372,159.5182720395583,0.020780882334166598
284,-201.90261665914213,229.54295588124512,0.020780882334166598
285,-210.67557233437998,286.63872671858456,0.020780882334166598
286,-205.60651492925007,250.55859913678603,0.020780882334166598
287,-190.69794539889853,175.75724409965102,0.020780882334166598
288,-181.6749374020606,125.94993983038788,0.020780882334166598
289,-189.69089341609262,171.71221744995165,0.020780882334166598
290,-204.1942679094003,257.8732642654487,0.020780882334166598
291,-206.78544638258535,271.3989507207832,0.020780882334166598
292,-196.27074722572945,208.07545055693495,0.020780882334166598
293,-187.84372406215465,154.427059592576,0.020780882334166598
294,-192.3862188175711,183.3534211211147,0.020780882334166598
295,-205.0455485185541,266.37586603806227,0.020780882334166598
296,-211.83298902759165,314.7532101725002,0.020780882334166598
297,-205.24361565162795,288.8788552357623,0.020780882334166598
298,-191.521799794863,212.55599447780014,0.020780882334166598
299,-184.3033163872385,176.76035034308467,0.020780882334166598
300,-190.7972901532336,223.498245590388,0.020780882334166598
301,-200.9393672539411,292.66195646477144,0.020780882334166598
302,-198.91106197376942,275.1057127348026,0.020780882334166598
303,-187.48289657967274,212.59114805737178,0.020780882334166598
304,-181.65352218877504,186.57530426402502,0.020780882334166598
305,-188.87359545802613,221.4132693841114,0.020780882334166598
306,-199.75624367095045,293.476433496036,0.020780882334166598
307,-203.28969516507817,320.4353813061548,0.020780882334166598
308,-196.58148965054423,283.98822456718506,0.020780882334166598
309,-188.18156323300573,221.6525760641951,0.020780882334166598
310,-188.56173714546622,234.36378546536514,0.020780882334166598
311,-198.17856344130587,296.83061332617615,0.020780882334166598
312,-205.39201324302783,337.8159834971803,0.020780882334166598
313,-200.48493640284013,299.8459631614911,0.020780882334166598
314,-188.84491590285208,238.95447801886354,0.020780882334166598
315,-183.0692369875795,195.34836189945324,0.020780882334166598
316,-186.49035660363646,217.7837989728184,0.020780882334166598
317,-191.71468315969415,250.96306418269654,0.020780882334166598
318,-194.46862648303843,273.8024122565922,0.020780882334166598
319,-193.3405797111924,264.3888874664721,0.020780882334166598
320,-190.53694310785582,237.09829258450702,0.020780882334166598
321,-189.0200951506352,221.71439078771044,0.020780882334166598
322,-190.3888759661199,234.91245579468804,0.020780882334166598
323,-193.6533864695386,253.23197453571956,0.020780882334166598
324,-194.8439622862918,264.3576860089265,0.020780882334166598
325,-194.20386767790288,266.9667830479202,0.020780882334166598
326,-195.80915715506478,277.68767437128736,0.020780882334166598
327,-199.70125333543268,299.10578529738643,0.020780882334166598
328,-199.56106975937837,306.0662571459854,0.020780882334166598
329,-193.59308392690488,260.0851243622076,0.020780882334166598
330,-187.36319641302256,223.55214447969024,0.020780882334166598
331,-183.88065615613831,203.54953991132348,0.020780882334166598
332,-184.1724860934693,206.8639010957955,0.020780882334166598
333,-186.0929799036266,216.2798070051147,0.020780882334166598
334,-187.49914871315423,223.82598551260145,0.020780882334166598
335,-188.38476801835776,234.54763600293572,0.020780882334166598
336,-189.83084675530566,248.46533358802276,0.020780882334166598
337,-192.97199269968172,275.9106906349617,0.020780882334166598
338,-194.52590231436463,284.5772043893826,0.020780882334166598
339,-193.20544025525933,267.20089821126425,0.020780882334166598
340,-192.11492875692988,266.5937427156905,0.020780882334166598
341,-193.80537935753028,279.3769636224001,0.020780882334166598
342,-196.72507415725997,308.0678507776503,0.020780882334166598
343,-196.96059363584678,297.92815245827137,0.020780882334166598
344,-194.18124697039678,279.084586535939,0.020780882334166598
345,-189.7283032065902,241.45861771599405,0.020780882334166598
346,-184.4346800994604,213.70488853142453,0.020780882334166598
347,-181.71803884919598,197.19164361681788,0.020780882334166598
348,-184.59157561387124,215.53928461933057,0.020780882334166598
349,-190.01460258250697,255.46363874590307,0.020780882334166598
350,-190.54117260581444,260.11574598557553,0.020780882334166598
351,-188.76343869366673,247.5395827299542,0.020780882334166598
352,-190.46955095843452,259.91075660437974,0.020780882334166598
353,-194.77646431049422,292.10688556115764,0.020780882334166598
354,-196.4272016851449,302.14325723611046,0.020780882334166598
355,-193.1108752539733,281.99255489521283,0.020780882334166598
356,-187.89952776552656,261.11478893769817,0.020780882334166598
357,-186.17559920794017,250.4180233293699,0.020780882334166598
358,-189.23185169328505,273.4736278162593,0.020780882334166598
359,-195.920117038374,311.553355148193,0.020780882334166598
360,-200.18115034576076,343.2931903791863,0.020780882334166598
361,-196.05730263098494,317.4693414829606,0.020780882334166598
362,-184.25342844823763,244.32994232771657,0.020780882334166598
363,-175.14341349430816,186.01860297247023,0.020780882334166598
364,-178.64047854961188,199.6388303693792,0.020780882334166598
365,-189.4364441064307,260.4458006158337,0.020780882334166598
366,-195.06518368841824,294.5818748176769,0.020780882334166598
367,-190.6059375172844,265.89754772879695,0.020780882334166598
368,-184.09038985232164,224.86236125882323,0.020780882334166598
369,-185.81975332740302,234.1431185790745,0.020780882334166598
370,-193.16271506650142,273.1465980730515,0.020780882334166598
371,-197.37225944582988,300.24241461191184,0.020780882334166598
372,-193.23973682404014,283.96831062051047,0.020780882334166598
373,-185.50805831795472,235.9603591729902,0.020780882334166598
374,-182.62457001665192,211.56504622921108,0.020780882334166598
375,-186.11504900228286,238.10563922427139,0.020780882334166598
376,-190.48329611267582,265.63314520572504,0.020780882334166598
377,-188.60567663409287,257.0253732124339,0.020780882334166598
378,-180.4603616350853,209.8566499607029,0.020780882334166598
379,-173.14456289255563,166.74799487516114,0.020780882334166598
380,-173.74064208148053,175.30702219914937,0.020780882334166598
381,-182.57287891689808,228.63075114981837,0.020780882334166598
382,-192.56742079363272,290.13101724994334,0.020780882334166598
383,-196.41707288658517,317.1009621485366,0.020780882334166598
384,-193.498237245739,305.0820584070741,0.020780882334166598
385,-187.0608380923255,273.1123250865594,0.020780882334166598
386,-182.7538721191638,256.6862004281454,0.020780882334166598
387,-184.294525999386,261.6017593722963,0.020780882334166598
388,-189.41866627690948,294.1280614461808,0.020780882334166598
389,-192.4121854568452,317.7668172258574,0.020780882334166598
390,-190.70622835311062,307.7854513287815,0.020780882334166598
391,-186.986250254488,282.1802201118165,0.020780882334166598
392,-185.22859322042416,259.829167916915,0.020780882334166598
393,-185.98671052796422,267.3474478613094,0.020780882334166598
394,-186.85862112812188,273.27428512415605,0.020780882334166598
395,-183.6244663299094,243.18164112894758,0.020780882334166598
396,-178.69556841076178,224.9345507021574,0.020780882334166598
397,-177.75819427732364,223.84344079766979,0.020780882334166598
398,-183.52102087321032,261.7722241123755,0.020780882334166598
399,-191.17819382180264,310.9139471769413,0.020780882334166598
400,-193.31940927996573,331.8965012003284,0.020780882334166598
401,-186.83172771086782,303.7158091340888,0.020780882334166598
402,-178.45756193346637,251.80468291329746,0.020780882334166598
403,-176.15814108637335,246.08868327906532,0.020780882334166598
404,-182.90787667367297,284.2878454798411,0.020780882334166598
405,-192.75254484786993,346.81906286876574,0.020780882334166598
406,-196.3984169950615,371.92453705019375,0.020780882334166598
407,-190.88801118021232,343.3807448221215,0.020780882334166598
408,-183.29358548883746,298.0135322413797,0.020780882334166598
409,-181.54772231104897,281.63347651529705,0.020780882334166598
410,-184.40508901610536,297.5579312666033,0.020780882334166598
411,-185.60616951571362,296.7489195966063,0.020780882334166598
412,-181.65853421242153,284.10242232591077,0.020780882334166598
413,-177.30420345984447,253.4960597139918,0.020780882334166598
414,-180.2900119162221,269.8445854617517,0.020780882334166598
415,-188.8757139745752,322.4533974975422,0.020780882334166598
416,-194.39443955337808,353.457739842472,0.020780882334166598
417,-190.55872642812847,326.9258690026954,0.020780882334166598
